nichei,fiti,nichef,fitf,mu1,mu2,k1,w,h2,theta,sigma,ext.time,f.ext
110,0.981994696007202,1.99531423593258,0.999845054481438,-0.434945845180584,1.2061096,1.507637,0.2,1,0.4,1.507637,1,8,0.001
111,0.162525339303325,2.81162261542776,0.986655403541147,-0.45344136590679,1.507637,-1.507637,0.2,1,0.4,1.507637,1,8,0.001
112,0.229533491403013,15.333463991831,0.987576954990562,-0.45473460468482,1.507637,-1.2061096,0.2,1,0.4,1.507637,1,8,0.001
113,0.312600355146573,-6.22322202399039,0.988889384601331,-0.455107826699908,1.507637,-0.9045822,0.2,1,0.4,1.507637,1,8,0.001
114,0.410536045326947,-3.10511373062565,0.972640367703826,-0.498268835225387,1.507637,-0.6030548,0.2,1,0.4,1.507637,1,6,0.001
115,0.51991403924883,-2.38739862264916,0.978246816665321,-0.494643723876721,1.507637,-0.3015274,0.2,1,0.4,1.507637,1,6,0.001
116,0.634936389751631,-2.21661596091302,0.984034748569195,-0.489053866425536,1.507637,0,0.2,1,0.4,1.507637,1,6,0.001
117,0.747734320087369,-2.38739862264916,0.989519877767595,-0.482236161361659,1.507637,0.3015274,0.2,1,0.4,1.507637,1,6,0.001
118,0.84914691109614,-3.10511373062565,0.994161782525537,-0.475400474471499,1.507637,0.6030548,0.2,1,0.4,1.507637,1,6,0.001
119,0.929901132416498,-6.22322202399039,0.997521609885236,-0.46994056059733,1.507637,0.9045822,0.2,1,0.4,1.507637,1,6,0.001
120,0.981994696007202,15.333463991831,0.99980490918806,-0.43886518934795,1.507637,1.2061096,0.2,1,0.4,1.507637,1,8,0.001
121,0.999999840095998,2.81162261542776,0.999999755853939,-0.438156947845774,1.507637,1.507637,0.2,1,0.4,1.507637,1,8,0.001
122,0.999999840095998,2.75838564848583,0.999999755888627,-0.395918484359002,-1.507637,-1.507637,0.223478024458045,1,0.4,1.507637,1,8,0.001
123,0.981994696007202,15.043130889814,0.999804832766872,-0.396723649514848,-1.507637,-1.2061096,0.223478024458045,1,0.4,1.507637,1,8,0.001
124,0.929901132416498,-6.10538776581308,0.997520152136396,-0.427573848730953,-1.507637,-0.9045822,0.223478024458045,1,0.4,1.507637,1,6,0.001
125,0.84914691109614,-3.04631962500095,0.994158948346417,-0.433241648132834,-1.507637,-0.6030548,0.223478024458045,1,0.4,1.507637,1,6,0.001
126,0.747734320087369,-2.3421941699414,0.989515391230671,-0.440189387611075,-1.507637,-0.3015274,0.223478024458045,1,0.4,1.507637,1,6,0.001
127,0.634936389751631,-2.17464521064711,0.984028349190695,-0.447026888186948,-1.507637,0,0.223478024458045,1,0.4,1.507637,1,6,0.001
128,0.51991403924883,-2.3421941699414,0.978238126279875,-0.452546780927383,-1.507637,0.3015274,0.223478024458045,1,0.4,1.507637,1,6,0.001
129,0.410536045326947,-3.04631962500095,0.972628669088527,-0.456013669549476,-1.507637,0.6030548,0.223478024458045,1,0.4,1.507637,1,6,0.001
130,0.312600355146573,-6.10538776581308,0.988887077204379,-0.412992091804205,-1.507637,0.9045822,0.223478024458045,1,0.4,1.507637,1,8,0.001
131,0.229533491403013,15.043130889814,0.987573779977725,-0.412534541255296,-1.507637,1.2061096,0.223478024458045,1,0.4,1.507637,1,8,0.001
132,0.162525339303325,2.75838564848583,0.986650452532165,-0.411137350077614,-1.507637,1.507637,0.223478024458045,1,0.4,1.507637,1,8,0.001
133,0.981994696007202,1.94207726899065,0.999844920313161,-0.392705197955444,-1.2061096,-1.507637,0.223478024458045,1,0.4,1.507637,1,8,0.001
134,0.999999840095998,10.5913118318303,0.999999782179429,-0.392691053266401,-1.2061096,-1.2061096,0.223478024458045,1,0.4,1.507637,1,8,0.001
135,0.981994696007202,-4.29857761363715,0.999782694245078,-0.393596011935301,-1.2061096,-0.9045822,0.223478024458045,1,0.4,1.507637,1,8,0.001
